cellId,cellIx,cellIy,zone,Nfluid,Mfluid,Nlatent,Ninactive
518,6,17,background,20,20,0,0
519,7,17,background,20,20,0,0
520,8,17,background,20,20,0,0
521,9,17,background,20,20,0,0
522,10,17,background,20,20,0,0
523,11,17,background,20,20,0,0
524,12,17,background,20,20,0,0
525,13,17,background,20,20,0,0
526,14,17,background,20,20,0,0
527,15,17,background,20,20,0,0
528,16,17,background,20,20,0,0
529,17,17,background,20,20,0,0
530,18,17,background,20,20,0,0
531,19,17,background,20,20,0,0
532,20,17,background,20,20,0,0
533,21,17,background,20,20,0,0
534,22,17,background,20,20,0,0
535,23,17,background,20,20,0,0
536,24,17,background,20,20,0,0
537,25,17,background,20,20,0,0
538,26,17,background,20,20,0,0
539,27,17,background,20,20,0,0
540,28,17,background,20,20,0,0
541,29,17,background,20,20,0,0
542,30,17,background,20,20,0,0
543,31,17,background,20,20,0,0
544,32,17,background,20,20,0,0
545,1,18,background,20,20,0,0
546,2,18,background,20,20,0,0
547,3,18,background,20,20,0,0
548,4,18,background,20,20,0,0
549,5,18,background,20,20,0,0
550,6,18,background,20,20,0,0
551,7,18,background,20,20,0,0
552,8,18,background,20,20,0,0
553,9,18,background,20,20,0,0
554,10,18,background,20,20,0,0
555,11,18,background,20,20,0,0
556,12,18,background,20,20,0,0
557,13,18,background,20,20,0,0
558,14,18,background,20,20,0,0
559,15,18,background,20,20,0,0
560,16,18,background,20,20,0,0
561,17,18,background,20,20,0,0
562,18,18,background,20,20,0,0
563,19,18,background,20,20,0,0
564,20,18,background,20,20,0,0
565,21,18,background,20,20,0,0
566,22,18,background,20,20,0,0
567,23,18,background,20,20,0,0
568,24,18,background,20,20,0,0
569,25,18,background,20,20,0,0
570,26,18,background,20,20,0,0
571,27,18,background,20,20,0,0
572,28,18,background,20,20,0,0
573,29,18,background,20,20,0,0
574,30,18,background,20,20,0,0
575,31,18,background,20,20,0,0
576,32,18,background,20,20,0,0
577,1,19,background,20,20,0,0
578,2,19,background,20,20,0,0
579,3,19,background,20,20,0,0
580,4,19,background,20,20,0,0
581,5,19,background,20,20,0,0
582,6,19,background,20,20,0,0
583,7,19,background,20,20,0,0
584,8,19,background,20,20,0,0
585,9,19,background,20,20,0,0
586,10,19,background,20,20,0,0
587,11,19,background,20,20,0,0
588,12,19,background,20,20,0,0
589,13,19,background,20,20,0,0
590,14,19,background,20,20,0,0
591,15,19,background,20,20,0,0
592,16,19,background,20,20,0,0
593,17,19,background,20,20,0,0
594,18,19,background,20,20,0,0
595,19,19,background,20,20,0,0
596,20,19,background,20,20,0,0
597,21,19,background,20,20,0,0
598,22,19,background,20,20,0,0
599,23,19,background,20,20,0,0
600,24,19,background,20,20,0,0
601,25,19,background,20,20,0,0
602,26,19,background,20,20,0,0
603,27,19,background,20,20,0,0
604,28,19,background,20,20,0,0
605,29,19,background,20,20,0,0
606,30,19,background,20,20,0,0
607,31,19,background,20,20,0,0
608,32,19,background,20,20,0,0
609,1,20,background,20,20,0,0
610,2,20,background,20,20,0,0
611,3,20,background,20,20,0,0
612,4,20,background,20,20,0,0
613,5,20,background,20,20,0,0
614,6,20,background,20,20,0,0
615,7,20,background,20,20,0,0
616,8,20,background,20,20,0,0
617,9,20,background,20,20,0,0
618,10,20,background,20,20,0,0
619,11,20,background,20,20,0,0
620,12,20,background,20,20,0,0
621,13,20,background,20,20,0,0
622,14,20,background,20,20,0,0
623,15,20,background,20,20,0,0
624,16,20,background,20,20,0,0
625,17,20,background,20,20,0,0
626,18,20,background,20,20,0,0
627,19,20,background,20,20,0,0
628,20,20,background,20,20,0,0
629,21,20,background,20,20,0,0
630,22,20,background,20,20,0,0
631,23,20,background,20,20,0,0
632,24,20,background,20,20,0,0
633,25,20,background,20,20,0,0
634,26,20,background,20,20,0,0
635,27,20,background,20,20,0,0
636,28,20,background,20,20,0,0
637,29,20,background,20,20,0,0
638,30,20,background,20,20,0,0
639,31,20,background,20,20,0,0
640,32,20,background,20,20,0,0
641,1,21,background,20,20,0,0
642,2,21,background,20,20,0,0
643,3,21,background,20,20,0,0
644,4,21,background,20,20,0,0
645,5,21,background,20,20,0,0
646,6,21,background,20,20,0,0
647,7,21,background,20,20,0,0
648,8,21,background,20,20,0,0
649,9,21,background,20,20,0,0
650,10,21,background,20,20,0,0
651,11,21,background,20,20,0,0
652,12,21,background,20,20,0,0
653,13,21,background,20,20,0,0
654,14,21,background,20,20,0,0
655,15,21,background,20,20,0,0
656,16,21,background,20,20,0,0
657,17,21,background,20,20,0,0
658,18,21,background,20,20,0,0
659,19,21,background,20,20,0,0
660,20,21,background,20,20,0,0
661,21,21,rich,40,40,0,0
662,22,21,rich,40,40,0,0
663,23,21,rich,40,40,0,0
664,24,21,background,20,20,0,0
665,25,21,background,20,20,0,0
666,26,21,background,20,20,0,0
667,27,21,background,20,20,0,0
668,28,21,background,20,20,0,0
669,29,21,background,20,20,0,0
670,30,21,background,20,20,0,0
671,31,21,background,20,20,0,0
672,32,21,background,20,20,0,0
673,1,22,background,20,20,0,0
674,2,22,background,20,20,0,0
675,3,22,background,20,20,0,0
676,4,22,background,20,20,0,0
677,5,22,background,20,20,0,0
678,6,22,background,20,20,0,0
679,7,22,background,20,20,0,0
680,8,22,background,20,20,0,0
681,9,22,background,20,20,0,0
682,10,22,background,20,20,0,0
683,11,22,background,20,20,0,0
684,12,22,background,20,20,0,0
685,13,22,background,20,20,0,0
686,14,22,background,20,20,0,0
687,15,22,background,20,20,0,0
688,16,22,background,20,20,0,0
689,17,22,background,20,20,0,0
690,18,22,background,20,20,0,0
691,19,22,background,20,20,0,0
692,20,22,background,20,20,0,0
693,21,22,rich,40,40,0,0
694,22,22,rich,40,40,0,0
695,23,22,rich,40,40,0,0
696,24,22,background,20,20,0,0
697,25,22,background,20,20,0,0
698,26,22,background,20,20,0,0
699,27,22,background,20,20,0,0
700,28,22,background,20,20,0,0
701,29,22,background,20,20,0,0
702,30,22,background,20,20,0,0
703,31,22,background,20,20,0,0
704,32,22,background,20,20,0,0
705,1,23,background,20,20,0,0
706,2,23,background,20,20,0,0
707,3,23,background,20,20,0,0
708,4,23,background,20,20,0,0
709,5,23,background,20,20,0,0
710,6,23,background,20,20,0,0
711,7,23,background,20,20,0,0
712,8,23,background,20,20,0,0
713,9,23,background,20,20,0,0
714,10,23,background,20,20,0,0
715,11,23,background,20,20,0,0
716,12,23,background,20,20,0,0
717,13,23,background,20,20,0,0
718,14,23,background,20,20,0,0
719,15,23,background,20,20,0,0
720,16,23,background,20,20,0,0
721,17,23,background,20,20,0,0
722,18,23,background,20,20,0,0
723,19,23,background,20,20,0,0
724,20,23,background,20,20,0,0
725,21,23,rich,40,40,0,0
726,22,23,rich,40,40,0,0
727,23,23,rich,40,40,0,0
728,24,23,background,20,20,0,0
729,25,23,background,20,20,0,0
730,26,23,background,20,20,0,0
731,27,23,background,20,20,0,0
732,28,23,background,20,20,0,0
733,29,23,background,20,20,0,0
734,30,23,background,20,20,0,0
735,31,23,background,20,20,0,0
736,32,23,background,20,20,0,0
737,1,24,background,20,20,0,0
738,2,24,background,20,20,0,0
739,3,24,background,20,20,0,0
740,4,24,background,20,20,0,0
741,5,24,background,20,20,0,0
742,6,24,background,20,20,0,0
743,7,24,background,20,20,0,0
744,8,24,background,20,20,0,0
745,9,24,background,20,20,0,0
746,10,24,background,20,20,0,0
747,11,24,background,20,20,0,0
748,12,24,background,20,20,0,0
749,13,24,background,20,20,0,0
750,14,24,background,20,20,0,0
751,15,24,background,20,20,0,0
752,16,24,background,20,20,0,0
753,17,24,background,20,20,0,0
754,18,24,background,20,20,0,0
755,19,24,background,20,20,0,0
756,20,24,background,20,20,0,0
757,21,24,background,20,20,0,0
758,22,24,background,20,20,0,0
759,23,24,background,20,20,0,0
760,24,24,background,20,20,0,0
761,25,24,background,20,20,0,0
762,26,24,background,20,20,0,0
763,27,24,background,20,20,0,0
764,28,24,background,20,20,0,0
765,29,24,background,20,20,0,0
766,30,24,background,20,20,0,0
767,31,24,background,20,20,0,0
768,32,24,background,20,20,0,0
769,1,25,background,20,20,0,0
770,2,25,background,20,20,0,0
771,3,25,background,20,20,0,0
772,4,25,background,20,20,0,0
773,5,25,background,20,20,0,0
774,6,25,background,20,20,0,0
775,7,25,background,20,20,0,0
776,8,25,background,20,20,0,0
777,9,25,background,20,20,0,0
778,10,25,background,20,20,0,0
779,11,25,background,20,20,0,0
780,12,25,background,20,20,0,0
781,13,25,background,20,20,0,0
782,14,25,background,20,20,0,0
783,15,25,background,20,20,0,0
784,16,25,background,20,20,0,0
785,17,25,background,20,20,0,0
786,18,25,background,20,20,0,0
787,19,25,background,20,20,0,0
788,20,25,background,20,20,0,0
