cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
209,17,3,0.34375,0.0520833333333333,1,20,20,0.422603356769729
210,18,3,0.364583333333333,0.0520833333333333,1,15,15,0.41112335091661
211,19,3,0.385416666666667,0.0520833333333333,1,22,22,0.400224644317775
212,20,3,0.40625,0.0520833333333333,1,4,4,0.389944509508415
213,21,3,0.427083333333333,0.0520833333333333,1,15,15,0.380321077464817
214,22,3,0.447916666666667,0.0520833333333333,1,16,16,0.37139293227405
215,23,3,0.46875,0.0520833333333333,1,18,18,0.363198616282971
216,24,3,0.489583333333333,0.0520833333333333,1,23,23,0.355776047339736
217,25,3,0.510416666666667,0.0520833333333333,1,24,24,0.349161856103224
218,26,3,0.53125,0.0520833333333333,1,28,28,0.34339065892374
219,27,3,0.552083333333333,0.0520833333333333,1,13,13,0.338494289919612
220,28,3,0.572916666666667,0.0520833333333333,1,32,32,0.33450102371233
221,29,3,0.59375,0.0520833333333333,1,28,28,0.331434826722283
222,30,3,0.614583333333333,0.0520833333333333,1,24,24,0.32931467876707
223,31,3,0.635416666666667,0.0520833333333333,1,14,14,0.328154006887017
224,32,3,0.65625,0.0520833333333333,1,19,19,0.327960269195581
225,33,3,0.677083333333333,0.0520833333333333,1,24,24,0.328734718093243
226,34,3,0.697916666666667,0.0520833333333333,1,15,15,0.330472360109055
227,35,3,0.71875,0.0520833333333333,1,19,19,0.333162115338184
228,36,3,0.739583333333333,0.0520833333333333,1,21,21,0.336787164759354
229,37,3,0.760416666666667,0.0520833333333333,1,25,25,0.341325460554212
230,38,3,0.78125,0.0520833333333333,1,19,19,0.346750364518098
231,39,3,0.802083333333333,0.0520833333333333,1,16,16,0.353031373753957
232,40,3,0.822916666666667,0.0520833333333333,1,15,15,0.360134891347097
233,41,3,0.84375,0.0520833333333333,1,23,23,0.368025002205602
234,42,3,0.864583333333333,0.0520833333333333,1,29,29,0.37666421979263
235,43,3,0.885416666666667,0.0520833333333333,1,18,18,0.386014176898456
236,44,3,0.90625,0.0520833333333333,1,28,28,0.396036241728987
237,45,3,0.927083333333333,0.0520833333333333,1,22,22,0.406692048439018
238,46,3,0.947916666666667,0.0520833333333333,1,22,22,0.417943938115818
239,47,3,0.96875,0.0520833333333333,1,29,29,0.429755311732208
240,48,3,0.989583333333333,0.0520833333333333,1,15,15,0.442090900616222
241,49,3,1.01041666666667,0.0520833333333333,1,7,7,0.4549169626032
242,50,3,1.03125,0.0520833333333333,1,21,21,0.46820141344422
243,51,3,1.05208333333333,0.0520833333333333,1,28,28,0.481913903496357
244,52,3,1.07291666666667,0.0520833333333333,1,8,8,0.496025849475671
245,53,3,1.09375,0.0520833333333333,1,26,26,0.510510430348125
246,54,3,1.11458333333333,0.0520833333333333,1,20,20,0.525342555460965
247,55,3,1.13541666666667,0.0520833333333333,1,30,30,0.540498811925923
248,56,3,1.15625,0.0520833333333333,1,22,22,0.555957397161817
249,57,3,1.17708333333333,0.0520833333333333,1,10,10,0.571698041457076
250,58,3,1.19791666666667,0.0520833333333333,1,16,16,0.58770192446318
251,59,3,1.21875,0.0520833333333333,1,18,18,0.603951588697599
252,60,3,1.23958333333333,0.0520833333333333,1,24,24,0.620430852424602
253,61,3,1.26041666666667,0.0520833333333333,1,22,22,0.637124723689712
254,62,3,1.28125,0.0520833333333333,1,18,18,0.654019316798862
255,63,3,1.30208333333333,0.0520833333333333,1,21,21,0.671101772143691
256,64,3,1.32291666666667,0.0520833333333333,1,24,24,0.688360179966551
257,65,3,1.34375,0.0520833333333333,1,31,31,0.705783508419596
258,66,3,1.36458333333333,0.0520833333333333,1,21,21,0.723361536089686
259,67,3,1.38541666666667,0.0520833333333333,1,14,14,0.741084789024222
260,68,3,1.40625,0.0520833333333333,1,17,17,0.758944482193146
261,69,3,1.42708333333333,0.0520833333333333,1,22,22,0.77693246525155
262,70,3,1.44791666666667,0.0520833333333333,1,27,27,0.795041172419155
263,71,3,1.46875,0.0520833333333333,1,15,15,0.813263576262236
