cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
284,92,3,1.90625,0.0520833333333333,1,23,23,1.35586191860139
285,93,3,1.92708333333333,0.0520833333333333,1,20,20,1.37572597107744
286,94,3,1.94791666666667,0.0520833333333333,1,16,16,1.39561605094723
287,95,3,1.96875,0.0520833333333333,1,17,17,1.41553114679507
288,96,3,1.98958333333333,0.0520833333333333,1,21,21,1.43547029776278
289,1,4,0.0104166666666667,0.0729166666666667,1,12,12,0.529686088729695
290,2,4,0.03125,0.0729166666666667,1,9,9,0.514134635634351
291,3,4,0.0520833333333333,0.0729166666666667,1,17,17,0.498893782396373
292,4,4,0.0729166666666667,0.0729166666666667,1,27,27,0.483987042263509
293,5,4,0.09375,0.0729166666666667,1,16,16,0.469439764616463
294,6,4,0.114583333333333,0.0729166666666667,1,25,25,0.45527921964517
295,7,4,0.135416666666667,0.0729166666666667,1,17,17,0.441534665497648
296,8,4,0.15625,0.0729166666666667,1,36,36,0.428237390289199
297,9,4,0.177083333333333,0.0729166666666667,1,17,17,0.415420719829017
298,10,4,0.197916666666667,0.0729166666666667,1,28,28,0.403119980395405
299,11,4,0.21875,0.0729166666666667,1,16,16,0.391372404526399
300,12,4,0.239583333333333,0.0729166666666667,1,18,18,0.38021696681429
301,13,4,0.260416666666667,0.0729166666666667,1,5,5,0.369694136397632
302,14,4,0.28125,0.0729166666666667,1,25,25,0.359845533595043
303,15,4,0.302083333333333,0.0729166666666667,1,20,20,0.350713480320625
304,16,4,0.322916666666667,0.0729166666666667,1,22,22,0.342340437941086
305,17,4,0.34375,0.0729166666666667,1,22,22,0.334768332352981
306,18,4,0.364583333333333,0.0729166666666667,1,16,16,0.328037774325137
307,19,4,0.385416666666667,0.0729166666666667,1,15,15,0.322187193266482
308,20,4,0.40625,0.0729166666666667,1,21,21,0.31725191378782
309,21,4,0.427083333333333,0.0729166666666667,1,19,19,0.313263215480946
310,22,4,0.447916666666667,0.0729166666666667,1,19,19,0.310247425584654
311,23,4,0.46875,0.0729166666666667,1,20,20,0.308225099814468
312,24,4,0.489583333333333,0.0729166666666667,1,25,25,0.307210346966872
313,25,4,0.510416666666667,0.0729166666666667,1,17,17,0.307210346966872
314,26,4,0.53125,0.0729166666666667,1,24,24,0.308225099814468
315,27,4,0.552083333333333,0.0729166666666667,1,22,22,0.310247425584654
316,28,4,0.572916666666667,0.0729166666666667,1,17,17,0.313263215480946
317,29,4,0.59375,0.0729166666666667,1,14,14,0.31725191378782
318,30,4,0.614583333333333,0.0729166666666667,1,20,20,0.322187193266482
319,31,4,0.635416666666667,0.0729166666666667,1,25,25,0.328037774325137
320,32,4,0.65625,0.0729166666666667,1,20,20,0.334768332352981
321,33,4,0.677083333333333,0.0729166666666667,1,17,17,0.342340437941086
322,34,4,0.697916666666667,0.0729166666666667,1,19,19,0.350713480320625
323,35,4,0.71875,0.0729166666666667,1,24,24,0.359845533595043
324,36,4,0.739583333333333,0.0729166666666667,1,29,29,0.369694136397632
325,37,4,0.760416666666667,0.0729166666666667,1,23,23,0.38021696681429
326,38,4,0.78125,0.0729166666666667,1,34,34,0.391372404526399
327,39,4,0.802083333333333,0.0729166666666667,1,27,27,0.403119980395405
328,40,4,0.822916666666667,0.0729166666666667,1,17,17,0.415420719829017
329,41,4,0.84375,0.0729166666666667,1,25,25,0.428237390289199
330,42,4,0.864583333333333,0.0729166666666667,1,23,23,0.441534665497648
331,43,4,0.885416666666667,0.0729166666666667,1,19,19,0.45527921964517
332,44,4,0.90625,0.0729166666666667,1,21,21,0.469439764616463
333,45,4,0.927083333333333,0.0729166666666667,1,18,18,0.483987042263509
334,46,4,0.947916666666667,0.0729166666666667,1,14,14,0.498893782396373
335,47,4,0.96875,0.0729166666666667,1,24,24,0.514134635634351
336,48,4,0.989583333333333,0.0729166666666667,1,15,15,0.529686088729695
337,49,4,1.01041666666667,0.0729166666666667,1,11,11,0.545526368540137
338,50,4,1.03125,0.0729166666666667,1,18,18,0.561635339540954
339,51,4,1.05208333333333,0.0729166666666667,1,25,25,0.57799439865629
340,52,4,1.07291666666667,0.0729166666666667,1,4,4,0.594586370255937
341,53,4,1.09375,0.0729166666666667,1,18,18,0.611395403397582
342,54,4,1.11458333333333,0.0729166666666667,1,27,27,0.628406872778586
343,55,4,1.13541666666667,0.0729166666666667,1,24,24,0.64560728437554
344,56,4,1.15625,0.0729166666666667,1,13,13,0.662984186373589
345,57,4,1.17708333333333,0.0729166666666667,1,23,23,0.680526085701702
346,58,4,1.19791666666667,0.0729166666666667,1,13,13,0.698222370277312
347,59,4,1.21875,0.0729166666666667,1,10,10,0.716063236909213
348,60,4,1.23958333333333,0.0729166666666667,1,17,17,0.734039624698735
349,61,4,1.26041666666667,0.0729166666666667,1,19,19,0.752143153705603
350,62,4,1.28125,0.0729166666666667,1,36,36,0.770366068598254
351,63,4,1.30208333333333,0.0729166666666667,1,10,10,0.788701186981849
352,64,4,1.32291666666667,0.0729166666666667,1,18,18,0.807141852085693
353,65,4,1.34375,0.0729166666666667,1,18,18,0.825681889490917
354,66,4,1.36458333333333,0.0729166666666667,1,31,31,0.844315567586093
355,67,4,1.38541666666667,0.0729166666666667,1,16,16,0.863037561450335
356,68,4,1.40625,0.0729166666666667,1,22,22,0.881842919878716
357,69,4,1.42708333333333,0.0729166666666667,1,22,22,0.900727035281987
358,70,4,1.44791666666667,0.0729166666666667,1,14,14,0.919685616210764
359,71,4,1.46875,0.0729166666666667,1,20,20,0.938714662272659
360,72,4,1.48958333333333,0.0729166666666667,1,12,12,0.957810441228986
361,73,4,1.51041666666667,0.0729166666666667,1,18,18,0.976969468075064
362,74,4,1.53125,0.0729166666666667,1,21,21,0.996188485924806
363,75,4,1.55208333333333,0.0729166666666667,1,4,4,1.01546444853588
364,76,4,1.57291666666667,0.0729166666666667,1,29,29,1.0347945043263
365,77,4,1.59375,0.0729166666666667,1,17,17,1.05417598174682
366,78,4,1.61458333333333,0.0729166666666667,1,27,27,1.07360637588593
367,79,4,1.63541666666667,0.0729166666666667,1,34,34,1.09308333619564
368,80,4,1.65625,0.0729166666666667,1,23,23,1.11260465523667
369,81,4,1.67708333333333,0.0729166666666667,1,20,20,1.13216825835118
370,82,4,1.69791666666667,0.0729166666666667,1,22,22,1.15177219417979
371,83,4,1.71875,0.0729166666666667,1,21,21,1.1714146259475
372,84,4,1.73958333333333,0.0729166666666667,1,26,26,1.19109382345006
373,85,4,1.76041666666667,0.0729166666666667,1,22,22,1.21080815567918
374,86,4,1.78125,0.0729166666666667,1,18,18,1.23055608403025
375,87,4,1.80208333333333,0.0729166666666667,1,20,20,1.25033615604185
