cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
376,88,4,1.82291666666667,0.0729166666666667,1,29,29,1.2701469996211
377,89,4,1.84375,0.0729166666666667,1,18,18,1.28998731771286
378,90,4,1.86458333333333,0.0729166666666667,1,25,25,1.30985588337504
379,91,4,1.88541666666667,0.0729166666666667,1,20,20,1.32975153522557
380,92,4,1.90625,0.0729166666666667,1,15,15,1.34967317322972
381,93,4,1.92708333333333,0.0729166666666667,1,17,17,1.36961975479949
382,94,4,1.94791666666667,0.0729166666666667,1,20,20,1.38959029117911
383,95,4,1.96875,0.0729166666666667,1,14,14,1.40958384409326
384,96,4,1.98958333333333,0.0729166666666667,1,19,19,1.42959952263659
385,1,5,0.0104166666666667,0.09375,1,25,25,0.51618464519177
386,2,5,0.03125,0.09375,1,14,14,0.500294788789975
387,3,5,0.0520833333333333,0.09375,1,25,25,0.4847052197375
388,4,5,0.0729166666666667,0.09375,1,19,19,0.469439764616463
389,5,5,0.09375,0.09375,1,18,18,0.45452425971407
390,6,5,0.114583333333333,0.09375,1,27,27,0.439986668988151
391,7,5,0.135416666666667,0.09375,1,18,18,0.425857187773913
392,8,5,0.15625,0.09375,1,25,25,0.4121683239352
