Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.00     0.00      200     0.00     0.01  mpcd::apply_cell_relative_rescale_thermostat(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, std::vector<int, std::allocator<int> > const&, unsigned long, mpcd::ThermostatWorkspace&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::attach_resampling_mass_guard_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingMassGuardDiagnostics const&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::attach_resampling_remap_apply_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingRemapApplyDiagnostics const&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::attach_resampling_insertion_apply_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingInsertionApplyDiagnostics const&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::attach_resampling_extraction_apply_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingExtractionApplyDiagnostics const&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::attach_resampling_thermal_renormalization_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingThermalRenormalizationDiagnostics const&)
  0.00     14.00     0.00      107     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       80     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00     14.00     0.00       63     0.00     0.00  mpcd::(anonymous namespace)::is_open_boundary_segment_key(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       61     0.00     0.00  mpcd::(anonymous namespace)::is_removed_open_aperture_key(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       44     0.00     0.00  mpcd::(anonymous namespace)::parse_double(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       36     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0]
  0.00     14.00     0.00       28     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00     14.00     0.00       27     0.00     0.00  void mpcd::(anonymous namespace)::write_exact<unsigned long>(std::basic_ofstream<char, std::char_traits<char> >&, unsigned long const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       24     0.00     0.00  void mpcd::(anonymous namespace)::write_exact<unsigned int>(std::basic_ofstream<char, std::char_traits<char> >&, unsigned int const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       23     0.00     0.00  mpcd::(anonymous namespace)::parse_bool(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       21     0.00     0.00  mpcd::(anonymous namespace)::parse_int(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       16     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_realloc_insert<unsigned char>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char&&)
  0.00     14.00     0.00       16     0.00     0.00  void std::vector<unsigned int, std::allocator<unsigned int> >::_M_realloc_insert<unsigned int const&>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00     14.00     0.00       15     0.00     0.00  void mpcd::(anonymous namespace)::write_vector<double>(std::basic_ofstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       15     0.00     0.00  mpcd::is_solid_wall_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00       14     0.00     0.00  mpcd::(anonymous namespace)::get_lower(std::unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00        9     0.00     0.00  void mpcd::(anonymous namespace)::read_exact<unsigned long>(std::basic_ifstream<char, std::char_traits<char> >&, unsigned long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00        9     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     14.00     0.00        8     0.00     0.00  void mpcd::(anonymous namespace)::read_exact<unsigned int>(std::basic_ifstream<char, std::char_traits<char> >&, unsigned int&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00        5     0.00     0.00  void mpcd::(anonymous namespace)::read_vector<double>(std::basic_ifstream<char, std::char_traits<char> >&, std::vector<double, std::allocator<double> >&, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00        5     0.00     0.00  mpcd::fluid_domain_area(mpcd::FluidDomainBounds const&)
  0.00     14.00     0.00        5     0.00     0.00  mpcd::RuntimeSummaryWriter::append(mpcd::RuntimeSummary const&)
  0.00     14.00     0.00        5     0.00     0.05  mpcd::compute_runtime_summary(mpcd::ParticleState const&, mpcd::SimulationParams const&, int, double, std::vector<unsigned int, std::allocator<unsigned int> > const*, mpcd::BoundaryDiagnostics const*, mpcd::ImmersedSolidDiagnostics const*, mpcd::CollisionDiagnostics const*, mpcd::Q6ProjectionDiagnostics const*, mpcd::ClosedCapacityResponseDiagnostics const*, mpcd::ThermostatDiagnostics const*, mpcd::WeightedResamplingDiagnostics const*, int)
  0.00     14.00     0.00        5     0.00     0.00  std::filesystem::__cxx11::path::~path()
  0.00     14.00     0.00        4     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_rehash(unsigned long, unsigned long const&)
  0.00     14.00     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     14.00     0.00        3     0.00     0.00  (anonymous namespace)::state_dump_name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int)
  0.00     14.00     0.00        3     0.00     0.03  mpcd::write_smpcd_state(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, mpcd::ParticleState const&)
  0.00     14.00     0.00        3     0.00     0.00  std::filesystem::__cxx11::path::path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::filesystem::__cxx11::path>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::filesystem::__cxx11::path::format)
  0.00     14.00     0.00        3     0.00     0.00  frame_dummy
  0.00     14.00     0.00        2     0.00     0.00  mpcd::(anonymous namespace)::parse_open_boundary_segment_value(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00        2     0.00     0.00  mpcd::(anonymous namespace)::lower(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     14.00     0.00        2     0.00     0.00  mpcd::normalized_inlet_reservoir_mode[abi:cxx11](mpcd::SimulationParams const&)
  0.00     14.00     0.00        2     0.00     0.00  void std::vector<mpcd::OpenBoundarySegment, std::allocator<mpcd::OpenBoundarySegment> >::_M_realloc_insert<mpcd::OpenBoundarySegment const&>(__gnu_cxx::__normal_iterator<mpcd::OpenBoundarySegment*, std::vector<mpcd::OpenBoundarySegment, std::allocator<mpcd::OpenBoundarySegment> > >, mpcd::OpenBoundarySegment const&)
  0.00     14.00     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00     14.00     0.00        2     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<mpcd::OpenBoundarySegment*, std::vector<mpcd::OpenBoundarySegment, std::allocator<mpcd::OpenBoundarySegment> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mpcd::validate_simulation_params(mpcd::SimulationParams const&)::{lambda(mpcd::OpenBoundarySegment const&, mpcd::OpenBoundarySegment const&)#1}> >(__gnu_cxx::__normal_iterator<mpcd::OpenBoundarySegment*, std::vector<mpcd::OpenBoundarySegment, std::allocator<mpcd::OpenBoundarySegment> > >, __gnu_cxx::__normal_iterator<mpcd::OpenBoundarySegment*, std::vector<mpcd::OpenBoundarySegment, std::allocator<mpcd::OpenBoundarySegment> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<mpcd::validate_simulation_params(mpcd::SimulationParams const&)::{lambda(mpcd::OpenBoundarySegment const&, mpcd::OpenBoundarySegment const&)#1}>)
