x_center,y_center,ux,uy,count,omega
0.231875,0.0003125,0.439833,-0.0371923,18,-117.723
0.233125,0.0003125,0.505576,-0.0655311,15,75.3757
0.234375,0.0003125,0.802202,-0.0745784,18,-111.813
0.235625,0.0003125,0.213799,-0.0739511,18,-32.1293
0.236875,0.0003125,0.581141,0.14696,19,-68.7462
0.238125,0.0003125,0.250021,-0.0563135,22,-16.8717
0.239375,0.0003125,0.46412,0.053967,20,29.6836
0.240625,0.0003125,0.346113,0.218892,26,-95.268
0.241875,0.0003125,0.165249,0.160276,17,-69.9922
0.243125,0.0003125,0.652855,0.0908082,23,-11.5692
0.244375,0.0003125,0.405911,0.0304515,18,-32.8026
0.245625,0.0003125,0.524391,-0.262225,17,-60.4861
0.246875,0.0003125,0.603618,0.0986125,17,-203.944
0.248125,0.0003125,0.389399,-0.280524,18,209.014
0.249375,0.0003125,0.970984,0.0475574,18,276.21
0.250625,0.0003125,0.653147,-0.1745,23,275.823
0.251875,0.0003125,0.487984,0.088697,23,137.927
0.253125,0.0003125,0.345539,-0.0717194,16,122.255
0.254375,0.0003125,0.521545,0.0609812,13,12.2481
0.255625,0.0003125,0.0571958,0.0521724,16,157.101
0.256875,0.0003125,0.438351,-0.0925547,16,-214.298
0.258125,0.0003125,0.463346,-0.0213783,18,-184.993
0.259375,0.0003125,0.363642,-0.0421206,19,76.2132
0.260625,0.0003125,0.429102,-0.0150165,17,161.41
0.261875,0.0003125,0.209757,0.0131761,22,286.388
0.263125,0.0003125,0.129224,0.142948,17,-16.8534
0.264375,0.0003125,0.339226,0.0668611,20,106.228
0.265625,0.0003125,0.489573,-0.120062,22,-134.636
0.266875,0.0003125,0.49323,0.246955,12,-234.111
0.268125,0.0003125,0.296643,-0.353545,16,-99.7647
0.269375,0.0003125,0.454965,0.119674,21,150.307
0.270625,0.0003125,0.415467,0.0388422,20,2.26171
0.271875,0.0003125,0.406083,0.0566638,24,60.0858
0.273125,0.0003125,0.690995,0.0900717,22,175.626
0.274375,0.0003125,0.405713,0.0357895,14,176.625
0.275625,0.0003125,0.160166,0.144663,25,85.2521
0.276875,0.0003125,0.35314,-0.0908733,21,-166.743
0.278125,0.0003125,0.594108,0.0442724,22,205.898
0.279375,0.0003125,0.499271,0.0697607,26,76.3971
0.280625,0.0003125,0.415078,-0.127753,18,164.874
0.281875,0.0003125,0.333665,-0.0451567,15,121.845
0.283125,0.0003125,0.0641298,0.0349204,12,270.169
