path,action,group,reason
docs/BACKWARD_STEP_HARDWALL_CALIBRATION.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/BACKWARD_STEP_MASKED_Q6_Q9_STRUCTURE_SUITE.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/BACKWARD_STEP_MASS_BUDGET_VISUAL_0069.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/BACKWARD_STEP_PARAMETRIC_Q6_Q9.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/BACKWARD_STEP_POPULATION_RELIABILITY_DIAGNOSTICS.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/BACKWARD_STEP_Q6_Q9_PARAMETRIC_RESULTS_AND_LIQUID_COMPARISON.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/BACKWARD_STEP_STRUCTURE_VISUALIZATION.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/ELLIPTIC_PROJECTION_CORE.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/HARD_INLET_LONG_RUN_0067E.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/HARD_INLET_Q9_RUNTIME_DIAGNOSTICS_0067D.md,remove,diagnostic développement,diagnostic interne ou analyse de mise au point retiré
docs/HARD_INLET_Q9_SOFT_RUNS_0067C.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/HARD_INLET_RESERVOIR_0067.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/IMMERSED_ANALYTIC_CIRCLE.md,keep,documentation générale,référence générale utile hors validation intermédiaire
docs/IMMERSED_CIRCLE_COMBINED_MOTION_DEMO.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/IMMERSED_CIRCLE_ROTATION.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
docs/IMMERSED_CIRCLE_TIME_AVERAGING.md,remove,documentation historique,note de jalon ou détail de validation intermédiaire retiré
